ontology ID	label	action	logical type	parent class
CLO:0003644	HCC1806 cell	import		
CLO:0003658	HCC70 cell	import		
CLO:0003659	HCC827 cell	import		
CLO:0003665	HCT 116 cell	import		
CLO:0003666	HCT-15 cell	import		
CLO:0003667	HCT-8 cell	import		
CLO:0003684	HeLa cell	import		
CLO:0003704	Hep G2 cell	import		
CLO:0003744	HH cell	import		
CLO:0003787	HMy2.CIR cell	ignore		
CLO:0003795	HOS cell	import		
CLO:0004009	Hs 578T cell	import		
CLO:0004245	Hs 940.T cell	import		
CLO:0004278	HT-1197 cell	import		
CLO:0004283	HT-29 cell	import		
CLO:0006961	IPC-298 cell	import		
CLO:0007012	JAWSII cell	import		
CLO:0007043	JURKAT cell	import		
CLO:0007050	K 562 cell	ignore		
CLO:0007073	KATO III cell	import		
CLO:0007189	L-428 cell	import		
CLO:0007201	L-540 cell	import		
CLO:0007325	LL/2 (LLC1) cell	import		
CLO:0007336	L-M cell	import		
CLO:0007365	LNCAP cell	import		
CLO:0007587	MC57G cell	import		
CLO:0007606	MCF7 cell	import		
CLO:0007629	MDA PCa 2b cell	import		
CLO:0007634	MDA-MB-231 cell	import		
CLO:0007636	MDA-MB-361 cell	import		
CLO:0007641	MDA-MB-468 cell	import		
CLO:0007668	MEG-01 cell	import		
CLO:0007680	MeT-5A cell	import		
CLO:0007688	MeWo cell	import		
CLO:0007726	MIA PaCa-2 cell	import		
CLO:0007733	MKN-45 cell	import		
CLO:0007825	MOLT-4 cell	import		
CLO:0007830	MOPC 315 cell	ignore		
CLO:0007906	MV-4-11 cell	import		
CLO:0007938	NALM-6 cell	ignore		
CLO:0007939	NAMALWA cell	ignore		
CLO:0007947	NB-4 cell	ignore		
CLO:0007980	NCI-H1092 cell	import		
CLO:0007986	NCI-H1299 cell	import		
CLO:0007989	NCI-H1355 cell	import		
CLO:0007992	NCI-H1395 cell	import		
CLO:0007998	NCI-H146 cell	import		
CLO:0008016	NCI-H1755 cell	import		
CLO:0008035	NCI-H1975 cell	import		
CLO:0008067	NCI-H2228 cell	import		
CLO:0008068	NCI-H226 cell	import		
CLO:0008076	NCI-H2444 cell	import		
CLO:0008077	NCI-H2452 cell	import		
CLO:0008080	NCI-H292 cell	import		
CLO:0008084	NCI-H345 cell	import		
CLO:0008085	NCI-H358 cell	import		
CLO:0008087	NCI-H441 cell	import		
CLO:0008088	NCI-H446 cell	import		
CLO:0008093	NCI-H520 cell	import		
CLO:0008094	NCI-H522 cell	import		
CLO:0008102	NCI-H660 cell	import		
CLO:0008105	NCI-H69 cell	import		
CLO:0008127	NCI-H929 cell	ignore		
CLO:0008129	NCI-N87 cell	import		
CLO:0008172	NIH-3T3 cell	import		
CLO:0008195	NRK cell	import		
CLO:0008228	OAW28 cell	import		
CLO:0008235	OCI-AML2 cell	import		
CLO:0008238	OE19 cell	import		
CLO:0008269	OPM-2 cell	ignore		
CLO:0008279	OVCAR-3 cell	import		
CLO:0008280	OVCAR-5 cell	import		
CLO:0008321	P388 cell	import		
CLO:0008341	P815 cell	import		
CLO:0008380	Panc 10.05 cell	import		
CLO:0008381	PANC-1 cell	import		
CLO:0008395	PC-3 cell	import		
CLO:0008458	PLC/PRF/5 cell	import		
CLO:0008693	R D cell	import		
CLO:0008734	Raji cell	import		
CLO:0008738	RAMOS cell	import		
CLO:0008873	RPMI 8226 cell	ignore		
CLO:0008947	Saos-2 cell	import		
CLO:0009034	SK-BR-3 cell	import		
CLO:0009041	SK-MEL-2 cell	import		
CLO:0009043	SK-MEL-28 cell	import		
CLO:0009047	SK-MEL-5 cell	import		
CLO:0009051	SK-N-AS cell	import		
CLO:0009063	SK-OV-3 cell	import		
CLO:0009105	SNU-C2B cell	import		
CLO:0009160	SU-DHL-1 cell	import		
CLO:0009161	SUP-B15 cell	ignore		
CLO:0009164	SUP-T1 cell	import		
CLO:0009188	SW 1463 cell	import		
CLO:0009190	SW 1573 cell	import		
CLO:0009192	SW 1990 cell	import		
CLO:0009195	SW 480 cell	import		
CLO:0009196	SW 620 cell	import		
CLO:0009216	SW48 cell	import		
CLO:0009226	SW948 cell	import		
CLO:0009242	T2 (174 x CEM.T2) cell	ignore		
CLO:0009245	T24 cell	import		
CLO:0009251	T-47D cell	import		
CLO:0009258	T98G cell	import		
CLO:0009279	TC-1 cell	import		
CLO:0009326	TF-1 cell	import		
CLO:0009348	THP-1 cell	import		
CLO:0009385	TOV-21G cell	import		
CLO:0009401	TRAMP-C1 cell	import		
CLO:0009402	TRAMP-C2 cell	import		
CLO:0009454	U-2 OS cell	import		
CLO:0009456	U-251 MG cell	import		
CLO:0009458	U266B1 cell	ignore		
CLO:0009462	U-698-M cell	ignore		
CLO:0009464	U-87 MG cell	import		
CLO:0009465	U-937 cell	import		
CLO:0009467	UACC-812 cell	import		
CLO:0009468	UACC-893 cell	import		
CLO:0009597	WI-38 VA-13 cell	import		
CLO:0009616	WM278 cell	import		
CLO:0009619	WM793B cell	import		
CLO:0009727	ZR-75-1 cell	import		
CLO:0009728	ZR-75-30 cell	import		
CLO:0009791	immortal human myeloblast cell line cell	import		
CLO:0009853	OCI-AML3 cell	import		
CLO:0009856	PL-21 cell	import		
CLO:0009873	EW-7 cell	import		
CLO:0009879	TC-71 cell	import		
CLO:0009894	KNS-42 cell	import		
CLO:0009912	JIMT-1 cell	import		
CLO:0009918	SUM159PT cell	import		
CLO:0009919	SUM185PE cell	import		
CLO:0009958	CL-40 cell	import		
CLO:0009970	MDST8 cell	import		
CLO:0009974	A498 cell	import		
CLO:0010594	GM08600 cell	ignore		
CLO:0010607	GM08605 cell	ignore		
CLO:0037020	LC-2-ad cell	import		
CLO:0037061	SU-DHL-4 cell	ignore		
CLO:0037063	SU-DHL-6 cell	ignore		
CLO:0037068	WSU-DLCL2 cell	ignore		
CLO:0037104	TYK-nu cell	import		
CLO:0037107	KP-2 cell	import		
CLO:0037108	KP-3 cell	import		
CLO:0037114	SUIT-2 cell	import		
CLO:0037132	MZ2-MEL cell	import		
CLO:0037135	UACC-257 cell	import		
CLO:0037144	NUGC-3 cell	import		
CLO:0037159	LB831-BLC cell	import		
CLO:0037173	JJN-3 cell	ignore		
CLO:0037180	MCF12A cell	import		
CLO:0037201	RMA cell	import		
CLO:0037202	JY cell	ignore		
CLO:0037203	MM.1S cell	ignore		
CLO:0037204	LSCC-RP9 cell	import		
CLO:0037205	UCI 107 cell	import		
CLO:0037206	UCI 101 cell	import		
CLO:0037207	derived from organism	relate		
CLO:0037208	derived from anatomic part	relate		
CLO:0037209	derived from cell	relate		
CLO:0037256	HBL-1 cell	ignore		
CLO:0037272	TMD8 cell	ignore		
CLO:0050045	RCB0455 cell	import		
CLO:0050048	RCB0725 cell	import		
CLO:0050049	RCB1905 cell	import		
CLO:0050057	RCB2818 cell	import		
CLO:0050059	RCB1967 cell	import		
CLO:0050067	RCB4455 cell	import		
CLO:0050083	RCB2293 cell	import		
CLO:0050104	RCB2138 cell	import		
CLO:0050107	RCB2141 cell	import		
CLO:0050150	RCB0980 cell	import		
CLO:0050164	RCB0193 cell	import		
CLO:0050192	RCB2652 cell	import		
CLO:0050238	RCB1830 cell	import		
CLO:0050752	RCB1283 cell	import		
CLO:0050789	RCB1939 cell	import		
CLO:0050802	RCB1434 cell	import		
CLO:0050853	RCB1942 cell	import		
CLO:0050890	RCB1151 cell	import		
CLO:0050893	RCB1963 cell	import		
CLO:0050894	RCB2202 cell	import		
CLO:0050896	RCB1275 cell	import		
CLO:0050983	RCB1428 cell	import		
CLO:0051228	HEV0041 cell	ignore		
CLO:0051333	HSC0107 cell	ignore		
CLO:0051371	RCB2098 cell	import		
CLO:0051542	RCB0483 cell	import		
CLO:0051567	RCB1902 cell	import		
CLO:0051568	RCB1974 cell	import		
CLO:0051569	RCB1975 cell	import		
CLO:0051596	RCB2657 cell	import		
CLO:0051609	RCB0881 cell	import		
DOID:0050861	colorectal adenocarcinoma	import		
DOID:0060060	non-Hodgkin lymphoma	import		
DOID:10286	prostate carcinoma	import		
DOID:1240	leukemia	import		
DOID:1485	cystic fibrosis	import		
DOID:1749	squamous cell carcinoma	import		
DOID:1790	malignant mesothelioma	import		
DOID:1909	melanoma	import		
DOID:2526	prostate adenocarcinoma	import		
DOID:2671	transitional cell carcinoma	import		
DOID:299	adenocarcinoma	import		
DOID:3007	breast ductal carcinoma	import		
DOID:305	carcinoma	import		
DOID:3068	glioblastoma	import		
DOID:3458	breast adenocarcinoma	import		
DOID:3664	mast cell neoplasm	import		
DOID:3721	plasmacytoma	import		
DOID:3905	lung carcinoma	import		
DOID:3907	lung squamous cell carcinoma	import		
DOID:3908	lung non-small cell carcinoma	import		
DOID:4	disease	import		
DOID:5409	lung small cell carcinoma	import		
DOID:5517	stomach carcinoma	import		
DOID:5603	T-cell acute lymphoblastic leukemia	import		
DOID:684	hepatocellular carcinoma	import		
DOID:769	neuroblastoma	import		
DOID:8552	chronic myeloid leukemia	import		
DOID:8584	Burkitt lymphoma	import		
NCBITaxon:10090	+/+ SCT cell	import		
NCBITaxon:117571	Euteleostomi	ignore		
NCBITaxon:2759	Eukaryota	ignore		
NCBITaxon:314146	Euarchontoglires	ignore		
NCBITaxon:32524	Amniota	ignore		
NCBITaxon:33154	Opisthokonta	ignore		
NCBITaxon:33213	Bilateria	ignore		
NCBITaxon:39107	Murinae	ignore		
NCBITaxon:40674	Mammalia	ignore		
NCBITaxon:7742	Vertebrata 	ignore		
NCBITaxon:9606	is_manufactured_by	import		
NCBITaxon:9989	Rodentia	ignore		
OBI:0000047	processed material	ignore		
OBI:0100026	organism	import		
UBERON:0000061	anatomical structure	ignore		
UBERON:0000077	+/+ SCT cell	ignore		
UBERON:0000465	material anatomical entity	ignore		
UBERON:0000481	regional part of nervous system	ignore		
UBERON:0001062	anatomical entity	ignore		
UBERON:0004119	endoderm-derived structure	ignore		
UBERON:0004120	mesoderm-derived structure	ignore		
UBERON:0004121	ectoderm-derived structure	ignore		
UBERON:0010000	anatomical conduit	ignore		
UBERON:0010314	structure with developmental contribution from neural crest	ignore		
UBERON:0015212	lateral structure	ignore		
