ontology ID	label	action	logical type	parent class
CLO:0001582	A-375 cell	ignore		
CLO:0001793	B16-F1 cell	ignore		
CLO:0001794	B16-F10 cell	ignore		
CLO:0002708	Daudi cell	ignore		
CLO:0002709	DB cell	ignore		
CLO:0002767	DG-75 cell	ignore		
CLO:0002805	DOHH2 cell	ignore		
CLO:0003433	G-361 cell	ignore		
CLO:0003787	HMy2.CIR cell	ignore		
CLO:0006961	IPC-298 cell	ignore		
CLO:0007050	K 562 cell	ignore		
CLO:0007830	MOPC 315 cell	ignore		
CLO:0007938	NALM-6 cell	ignore		
CLO:0007939	NAMALWA cell	ignore		
CLO:0007947	NB-4 cell	ignore		
CLO:0008127	NCI-H929 cell	ignore		
CLO:0008269	OPM-2 cell	ignore		
CLO:0008873	RPMI 8226 cell	ignore		
CLO:0009041	SK-MEL-2 cell	ignore		
CLO:0009043	SK-MEL-28 cell	ignore		
CLO:0009047	SK-MEL-5 cell	ignore		
CLO:0009161	SUP-B15 cell	ignore		
CLO:0009242	T2 (174 x CEM.T2) cell	ignore		
CLO:0009458	U266B1 cell	ignore		
CLO:0009462	U-698-M cell	ignore		
CLO:0009616	WM278 cell	ignore		
CLO:0009619	WM793B cell	ignore		
CLO:0009791	immortal human myeloblast cell line cell	import		
CLO:0010594	GM08600 cell	ignore		
CLO:0010607	GM08605 cell	ignore		
CLO:0037061	SU-DHL-4 cell	ignore		
CLO:0037063	SU-DHL-6 cell	ignore		
CLO:0037068	WSU-DLCL2 cell	ignore		
CLO:0037132	MZ2-MEL cell	ignore		
CLO:0037135	UACC-257 cell	ignore		
CLO:0037173	JJN-3 cell	ignore		
CLO:0037202	JY cell	ignore		
CLO:0037203	MM.1S cell	ignore		
CLO:0037207	derived from organism	relate		
CLO:0037208	derived from anatomic part	relate		
CLO:0037209	derived from cell	relate		
CLO:0037256	HBL-1 cell	ignore		
CLO:0037272	TMD8 cell	ignore		
CLO:0050752	RCB1283 cell	ignore		
CLO:0051228	HEV0041 cell	ignore		
CLO:0051333	HSC0107 cell	ignore		
DOID:0050745	diffuse large B-cell lymphoma	import		
DOID:0050861	colorectal adenocarcinoma	import		
DOID:0050865	tongue squamous cell carcinoma	import		
DOID:0050866	oral squamous cell carcinoma	import		
DOID:0050940	endocervical adenocarcinoma	import		
DOID:0060060	non-Hodgkin lymphoma	import		
DOID:0060318	acute promyelocytic leukemia	import		
DOID:0060592	B-cell adult acute lymphocytic leukemia	import		
DOID:0080147	lymphoblastic lymphoma	import		
DOID:0080323	pancreatic squamous cell carcinoma	import		
DOID:0080630	B-lymphoblastic leukemia/lymphoma	import		
DOID:10286	prostate carcinoma	import		
DOID:1240	leukemia	import		
DOID:1485	cystic fibrosis	import		
DOID:1520	colon carcinoma	import		
DOID:1612	breast cancer	import		
DOID:1749	squamous cell carcinoma	import		
DOID:1790	malignant mesothelioma	import		
DOID:1909	melanoma	import		
DOID:1996	rectum adenocarcinoma	import		
DOID:234	colon adenocarcinoma	import		
DOID:2526	prostate adenocarcinoma	import		
DOID:2671	transitional cell carcinoma	import		
DOID:299	adenocarcinoma	import		
DOID:3007	breast ductal carcinoma	import		
DOID:3008	invasive ductal carcinoma	import		
DOID:3039	cecum adenocarcinoma	import		
DOID:305	carcinoma	import		
DOID:3068	glioblastoma	import		
DOID:3151	skin squamous cell carcinoma	import		
DOID:3347	osteosarcoma	import		
DOID:3458	breast adenocarcinoma	import		
DOID:3498	pancreatic ductal adenocarcinoma	import		
DOID:3664	mast cell neoplasm	import		
DOID:3672	rhabdoid cancer	import		
DOID:3713	ovary adenocarcinoma	import		
DOID:3717	gastric adenocarcinoma	import		
DOID:3721	plasmacytoma	import		
DOID:3744	cervical squamous cell carcinoma	import		
DOID:3748	esophagus squamous cell carcinoma	import		
DOID:3905	lung carcinoma	import		
DOID:3907	lung squamous cell carcinoma	import		
DOID:3908	lung non-small cell carcinoma	import		
DOID:3910	lung adenocarcinoma	import		
DOID:4	disease	import		
DOID:4007	bladder carcinoma	import		
DOID:4074	pancreatic adenocarcinoma	import		
DOID:4359	amelanotic melanoma	import		
DOID:4450	renal cell carcinoma	import		
DOID:4467	clear cell renal cell carcinoma	import		
DOID:4556	lung large cell carcinoma	import		
DOID:4905	pancreatic carcinoma	import		
DOID:4914	esophagus adenocarcinoma	import		
DOID:4926	bronchiolo-alveolar adenocarcinoma	import		
DOID:5304	ovarian clear cell adenocarcinoma	import		
DOID:5409	lung small cell carcinoma	import		
DOID:5514	breast squamous cell carcinoma	import		
DOID:5517	stomach carcinoma	import		
DOID:5583	lung giant cell carcinoma	import		
DOID:5603	T-cell acute lymphoblastic leukemia	import		
DOID:5744	ovary serous adenocarcinoma	import		
DOID:684	hepatocellular carcinoma	import		
DOID:7	disease of anatomical entity	ignore		
DOID:7141	prostate small cell carcinoma	import		
DOID:7474	malignant pleural mesothelioma	import		
DOID:769	neuroblastoma	import		
DOID:8552	chronic myeloid leukemia	import		
DOID:8584	Burkitt lymphoma	import		
DOID:9538	multiple myeloma	import		
NCBITaxon:10090	Mus musculus	import		
NCBITaxon:10116	Rattus norvegicus	import		
NCBITaxon:117571	Euteleostomi	ignore		
NCBITaxon:2759	Eukaryota	ignore		
NCBITaxon:314146	Euarchontoglires	ignore		
NCBITaxon:32524	Amniota	ignore		
NCBITaxon:33154	Opisthokonta	ignore		
NCBITaxon:33213	Bilateria	ignore		
NCBITaxon:39107	Murinae	ignore		
NCBITaxon:40674	Mammalia	ignore		
NCBITaxon:7742	Vertebrata 	ignore		
NCBITaxon:9544	Macaca mulatta	import		
NCBITaxon:9606	is_manufactured_by	import		
NCBITaxon:9989	Rodentia	ignore		
OBI:0000047	processed material	ignore		
OBI:0100026	organism	import		
RO:0001000	derives from	relate		
UBERON:0000002	uterine cervix	import		
UBERON:0000007	pituitary gland	import		
UBERON:0000010	peripheral nervous system	import		
UBERON:0000029	lymph node	import		
UBERON:0000061	anatomical structure	ignore		
UBERON:0000064	organ part	import		
UBERON:0000077	mixed endoderm/mesoderm-derived structure	ignore		
UBERON:0000170	pair of lungs	import		
UBERON:0000175	pleural effusion	import		
UBERON:0000178	blood	import		
UBERON:0000310	breast	import		
UBERON:0000465	material anatomical entity	ignore		
UBERON:0000473	testis	import		
UBERON:0000479	tissue	import		
UBERON:0000481	regional part of nervous system	ignore		
UBERON:0000922	late embryo	import		
UBERON:0000945	stomach	import		
UBERON:0000947	aorta	import		
UBERON:0000948	heart	import		
UBERON:0000955	brain	import		
UBERON:0000970	compound eye	import		
UBERON:0000977	pleura	import	subclass	tissue
UBERON:0000979	tibia	import		
UBERON:0000992	ovary	import		
UBERON:0000995	uterus	import		
UBERON:0001013	adipose tissue	import		
UBERON:0001017	central nervous system	import		
UBERON:0001043	esophagus	import		
UBERON:0001044	saliva-secreting gland	import		
UBERON:0001052	rectum	import		
UBERON:0001062	anatomical entity	ignore		
UBERON:0001088	urine	import		
UBERON:0001090	synovial fluid	import		
UBERON:0001153	caecum	import		
UBERON:0001155	colon	import		
UBERON:0001255	urinary bladder	import		
UBERON:0001264	pancreas	import		
UBERON:0001268	peritoneal fluid	import		
UBERON:0001359	cerebrospinal fluid	import		
UBERON:0001474	carpal bone	import		
UBERON:0001506	brachialis muscle	import		
UBERON:0001723	tongue	import		
UBERON:0001729	oropharynx	import		
UBERON:0001737	larynx	import		
UBERON:0001744	lymphoid tissue	import		
UBERON:0001828	gingiva	import		
UBERON:0001836	saliva	import		
UBERON:0001911	mammary gland	import		
UBERON:0001987	placenta	import		
UBERON:0001988	feces	import		
UBERON:0002037	cerebellum	import		
UBERON:0002046	thyroid gland	import		
UBERON:0002048	lung	import		
UBERON:0002072	hypodermis	import		
UBERON:0002097	skin of body	import		
UBERON:0002106	spleen	import		
UBERON:0002107	liver	import		
UBERON:0002108	small intestine	import		
UBERON:0002110	gallbladder	import		
UBERON:0002113	kidney	import		
UBERON:0002115	jejunum	import		
UBERON:0002240	spinal cord	import		
UBERON:0002367	prostate gland	import		
UBERON:0002369	right adrenal gland	import		
UBERON:0002370	thymus	import		
UBERON:0002371	yellow bone marrow	import		
UBERON:0002372	tonsil	import		
UBERON:0003126	trachea	import		
UBERON:0004119	endoderm-derived structure	ignore		
UBERON:0004120	mesoderm-derived structure	ignore		
UBERON:0004121	ectoderm-derived structure	ignore		
UBERON:0004923	organ component layer	ignore		
UBERON:0005090	urethra muscle tissue	import		
UBERON:0005409	alimentary part of gastrointestinal system	import		
UBERON:0007795	ascitic fluid	import		
UBERON:0009856	sac	ignore		
UBERON:0010000	directly develops from	ignore		
UBERON:0010313	neural crest-derived structure	ignore		
UBERON:0010314	structure with developmental contribution from neural crest	ignore		
UBERON:0012168	umbilical cord blood	import		
UBERON:0015212	lateral structure	ignore		
